reference,name,wikidata,wikipedia
Bath and Bristol,Bath and Bristol,Q48742764,Avon_Green_Belt
Birmingham,Birmingham,Q48742526,West_Midlands_Green_Belt
Blackpool,Blackpool,Q48742432,North_West_Green_Belt
South West Hampshire,South West Hampshire,Q48742743,South_East_Dorset_Green_Belt
Burton-upon-Trent and Swadlincote,Burton-upon-Trent and Swadlincote,Q48741023,Burton_upon_Trent_and_Swadlincote_Green_Belt
Cambridge,Cambridge,Q48742824,Cambridge_Green_Belt
Carnforth, Lancaster and Morecambe","Carnforth, Lancaster and Morecambe",Q48742432,North_West_Green_Belt
Cheltenham and Gloucester,Cheltenham and Gloucester,Q48742734,Gloucester_and_Cheltenham_Green_Belt
Derby and Nottingham,Derby and Nottingham,Q48741008,Nottingham_and_Derby_Green_Belt
London,London,Q6825103,Metropolitan_Green_Belt
Merseyside and Greater Manchester,Merseyside and Greater Manchester,Q48742432,North_West_Green_Belt
Oxford,Oxford,Q48698819,Oxford_Green_Belt
South and West Yorkshire,South and West Yorkshire,Q48742434,South_and_West_Yorkshire_Green_Belt
Stoke-on-Trent,Stoke-on-Trent,Q48742704,Stoke-on-Trent_Green_Belt
Tyne and Wear,Tyne and Wear,Q48742725,North_East_Green_Belt
York,York,Q48742437,York_Green_Belt
