dataset,resource,field,pattern,value
green-belt,,green-belt-core,Bath and Bristol,Q48742764
green-belt,,green-belt-core,Birmingham,Q48742526
green-belt,,green-belt-core,Blackpool,Q48742432
green-belt,,green-belt-core,"Bournemouth, Christchurch and Poole",Q48742743
green-belt,,green-belt-core,Burton-upon-Trent and Swadlincote,Q48741023
green-belt,,green-belt-core,Cambridge,Q48742824
green-belt,,green-belt-core,"Carnforth, Lancaster and Morecambe",Q48742432
green-belt,,green-belt-core,Cheltenham and Gloucester,Q48742734
green-belt,,green-belt-core,Derby and Nottingham,Q48741008
green-belt,,green-belt-core,London,Q6825103
green-belt,,green-belt-core,Merseyside and Greater Manchester,Q48742432
green-belt,,green-belt-core,Oxford,Q48698819
green-belt,,green-belt-core,South and West Yorkshire,Q48742434
green-belt,,green-belt-core,Stoke-on-Trent,Q48742704
green-belt,,green-belt-core,Tyne and Wear,Q48742725
green-belt,,green-belt-core,York,Q48742437
