dataset,resource,column,field
green-belt,,WKT,geometry
green-belt,,lad11cd,local-authority-district
green-belt,,ons_code,local-authority-district
green-belt,,la_code,local-authority-district
green-belt,,lad15cd,local-authority-district
green-belt,,lad16cd,local-authority-district
green-belt,,lad17cd,local-authority-district
green-belt,,lad18cd,local-authority-district
green-belt,,lad19cd,local-authority-district
green-belt,,lad20cd,local-authority-district
green-belt,,la_name,name
green-belt,,lad11nm,name
green-belt,,lad15nm,name
green-belt,,lad16nm,name
green-belt,,lad17nm,name
green-belt,,lad18nm,name
green-belt,,lad19nm,name
green-belt,,lad20nm,name
green-belt,,GB_Name,green-belt-core
